Date,Open,Close,Low,High,Volume,Volatility,Daily Return,Day_Type,DayOfWeek
2022-05-03 00:00:00,"70,0824","68,7958","67,9166","70,1471",15570100,"0,0318","-0,0184",Bear,2
2022-05-04 00:00:00,"73,4051","75,5616","72,1186","76,7000",30199700,"0,0624","0,0294",Bull,3
2022-05-05 00:00:00,"74,4417","71,7113","71,3874","75,1729",19114700,"0,0509","-0,0367",Bear,4
2022-05-06 00:00:00,"71,2948","70,8228","69,6103","71,4522",11165800,"0,0258","-0,0066",Bear,5
2022-05-09 00:00:00,"69,6381","68,0184","67,8703","70,8506",12863600,"0,0428","-0,0233",Bear,1
2022-05-10 00:00:00,"69,2771","66,5098","66,2784","69,4622",14085900,"0,0460","-0,0399",Bear,2
2022-05-11 00:00:00,"66,2228","64,8438","64,7512","66,5931",12118100,"0,0278","-0,0208",Bear,3
2022-05-12 00:00:00,"64,4523","65,1513","63,7439","65,2725",15460600,"0,0237","0,0108",Bull,4
2022-05-13 00:00:00,"66,9968","70,4641","66,9968","70,5853",18156300,"0,0536","0,0518",Bull,5
2022-05-16 00:00:00,"69,8490","67,5002","67,3976","70,3150",11435300,"0,0418","-0,0336",Bear,1
2022-05-17 00:00:00,"68,9822","68,7119","67,8916","69,2991",12454500,"0,0204","-0,0039",Bear,2
2022-05-18 00:00:00,"68,1806","66,4376","65,9716","68,5441",10576500,"0,0377","-0,0256",Bear,3
2022-05-19 00:00:00,"66,2698","67,0434","65,5521","67,5002",11193700,"0,0294","0,0117",Bull,4
2022-05-20 00:00:00,"67,9289","68,4043","66,6054","68,4416",15941800,"0,0270","0,0070",Bull,5
2022-05-23 00:00:00,"68,7212","68,4322","67,6400","69,2245",10741900,"0,0231","-0,0042",Bear,1
2022-05-24 00:00:00,"68,0128","67,7798","66,4283","68,3483",9227700,"0,0282","-0,0034",Bear,2
2022-05-25 00:00:00,"67,7798","67,5561","67,0434","68,5068",8344400,"0,0216","-0,0033",Bear,3
2022-05-26 00:00:00,"67,9942","69,4295","67,9196","69,6905",8940900,"0,0260","0,0211",Bull,4
2022-05-27 00:00:00,"70,1193","71,4987","70,0447","71,5080",8498400,"0,0209","0,0197",Bull,5
2022-05-31 00:00:00,"71,7411","73,1671","71,3496","74,2483",23361800,"0,0404","0,0199",Bull,2
2022-06-01 00:00:00,"73,4001","71,0979","70,8836","73,5213",7579000,"0,0359","-0,0314",Bear,3
2022-06-02 00:00:00,"71,3403","74,0246","70,6971","74,0992",10241500,"0,0477","0,0376",Bull,4
2022-06-03 00:00:00,"73,6331","73,6797","72,9993","74,4720",10415700,"0,0200","0,0006",Bull,5
2022-06-06 00:00:00,"74,2856","73,6145","73,1951","75,7769",7239400,"0,0348","-0,0090",Bear,1
2022-06-07 00:00:00,"73,2324","74,0712","72,9434","74,3322",5517100,"0,0190","0,0115",Bull,2
2022-06-08 00:00:00,"73,5399","73,1392","72,9434","74,3508",5178300,"0,0191","-0,0054",Bear,3
2022-06-09 00:00:00,"72,6731","73,5493","72,4494","74,8169",13248100,"0,0326","0,0121",Bull,4
2022-06-10 00:00:00,"71,7877","70,5294","70,5201","72,5053",8694300,"0,0277","-0,0175",Bear,5
2022-06-13 00:00:00,"68,1246","67,4442","67,0248","68,9822",9282800,"0,0287","-0,0100",Bear,1
2022-06-14 00:00:00,"67,9009","67,3976","66,6706","68,8237",7635600,"0,0317","-0,0074",Bear,2
2022-06-15 00:00:00,"68,2738","69,1499","68,1433","70,1565",7682300,"0,0295","0,0128",Bull,3
2022-06-16 00:00:00,"67,5095","66,1300","65,5708","67,6773",10147000,"0,0312","-0,0204",Bear,4
2022-06-17 00:00:00,"66,2512","66,9875","65,9623","67,5188",9824300,"0,0235","0,0111",Bull,5
2022-06-21 00:00:00,"68,0967","68,0035","67,1367","68,1992",7872500,"0,0156","-0,0014",Bear,2
2022-06-22 00:00:00,"67,4536","68,3204","67,3138","68,8051",6702200,"0,0221","0,0129",Bull,3
2022-06-23 00:00:00,"68,8423","70,0913","68,5161","70,2404",6586400,"0,0250","0,0181",Bull,4
2022-06-24 00:00:00,"70,5201","72,8036","70,4175","72,8409",18012000,"0,0344","0,0324",Bull,5
